,Max. Freq. (Hz),Rheobase idx,Rheobase (pA),Slow AHP (mV),I at Max. Freq. (pA),Adaptation ratio,Avg Spike Time (s),Sag Amplitude (mV),Input R (MOhm),Capacitance (pF),Resting (mV),RS AHP Amp. (mV),RS Max. Slope (mV/ms),RS Min. Slope (mV/ms),RS Peak (mV),RS Half Width (ms),RS Threshold (mV),LS AHP Amp. (mV),LS Max. Slope (mV/ms),LS Min. Slope (mV/ms),LS Peak (mV),LS Half Width (ms),LS Threshold (mV)
D13,7.0,5.0,100.0,8.48675537109375,440.0,5.97350069734999,0.3320114285714286,-2.5297164916992188,199.2856434454132,108.09094175801218,-86.0,-9.155269622802734,2822.875946044922,-724.7924842834473,35.879878997802734,0.9800000000032014,-48.958984375,-4.8828125,1289.3675994873047,-419.6167964935303,23.0625,1.320000000006985,-38.88818359375
D14,62.0,4.0,80.0,2.17559814453125,300.0,1.5557491289198575,0.46989096774193584,-14.0716552734375,247.62303715496336,116.52227324455814,-62.0,-11.29150390625,3128.051712036133,-1747.1313171386719,25.503902435302734,0.47999999999956344,-61.776363372802734,-13.732912063598633,1296.9970626831055,-686.6455039978027,6.888181686401367,0.7200000000011642,-41.93994140625
D15,81.0,1.0,20.0,0.01190948486328125,540.0,1.6231527093596485,0.46963333333333335,-15.069877624511719,336.15281241135887,99.96739501777252,-58.0,-18.00537109375,2906.7992248535156,-1502.9906463623047,24.588375091552734,0.5399999999990541,-57.503902435302734,-7.324216842651367,885.0097274780273,-427.24607849121094,10.550291061401367,1.040000000008149,-33.7001953125
D16,134.0,2.0,40.0,-5.602775573730469,460.0,3.089743589743608,0.45753716417910484,-21.78319549560547,196.32791229997525,35.940500023338785,-67.0,-6.40869140625,3921.508590698242,-1731.8724060058594,34.354000091552734,0.5400000000008731,-63.912593841552734,-19.531246185302734,1777.648941040039,-602.7221755981445,8.414060592651367,0.8600000000005821,-51.70556640625
D17,126.0,1.0,20.0,1.24139404296875,580.0,2.2500000000002363,0.46191888888888855,-11.41986083984375,280.7153906661593,55.76983186987752,-69.0,-7.62939453125,3646.850540161133,-1869.2015838623047,34.048824310302734,0.5,-60.860836029052734,-3.96728515625,961.3036651611328,-457.76367378234863,5.972654342651367,1.0200000000186265,-43.4658203125
D20,126.0,1.0,20.0,-5.643257141113281,380.0,2.3942857142856013,0.47814222222222247,-22.13970947265625,355.24565593096656,29.204851820098774,-68.0,-9.765625,2838.1346435546875,-1312.2557907104492,26.419429779052734,0.6399999999994179,-59.945308685302734,-0.6103515625,701.9043006896973,-350.9521770477295,-4.403321266174316,1.5199999999895226,-54.14697265625
D21,135.0,3.0,60.0,1.6518020629882812,480.0,1.2730263157895154,0.49972266666666654,-8.52197265625,90.21991420996167,157.31673740725842,-61.0,-15.2587890625,3517.150588989258,-2174.377456665039,30.691890716552734,0.42000000000189175,-62.386714935302734,-9.460445404052734,953.6742706298828,-587.4633369445801,-5.013672828674316,0.8999999999941792,-54.14697265625
D22,167.0,2.0,40.0,-3.73687744140625,540.0,1.9161676646706443,0.4893322155688624,-11.27825927734375,270.8966935867606,30.242488389902405,-77.0,-12.51220703125,4287.719528198242,-2632.1409301757812,36.795406341552734,0.38000000000101863,-64.828125,-24.414058685302734,1106.2621612548828,-999.4505996704102,-4.708497047424316,0.8199999999778811,-52.31591796875
D23,119.0,2.0,40.0,-1.1149330139160156,440.0,2.7883597883599234,0.4781515966386549,-15.279655456542969,205.05799400705263,48.40825812082946,-66.0,-7.01904296875,3570.5564575195312,-1655.5785522460938,35.269527435302734,0.5399999999990541,-59.334957122802734,-12.817378997802734,679.0160675048828,-541.6869812011719,-0.7412118911743164,1.2599999999947613,-48.04345703125
D24,14.0,3.0,60.0,1.98828125,580.0,12.539999999999786,0.33665285714285753,-2.70550537109375,99.49187914333967,273.2200494214797,-56.0,-6.103511810302734,4127.502281188965,-1731.87255859375,32.217769622802734,0.41999999999825377,-55.36767578125,-7.01904296875,2708.4348907470703,-1373.290885925293,30.691890716552734,0.4400000000023283,-37.66748046875
D25,105.0,2.0,40.0,0.35693359375,520.0,0.008620689655165263,0.4722540952380956,-9.3350830078125,227.99566604286494,86.25896319438404,-62.0,-18.9208984375,3509.5213775634766,-1899.719253540039,30.081539154052734,0.4400000000023283,-57.809078216552734,-6.40869140625,633.2397346496582,-305.1757593154907,-5.929200172424316,1.1999999999825377,-39.8037109375
D26,109.0,5.0,100.0,-1.52520751953125,560.0,1.3604336043360608,0.4931713761467882,-5.454154968261719,53.221144823520696,197.98258526792102,-59.0,-16.78466796875,1762.3900146484375,-1167.2972946166992,-2.8774423599243164,0.5599999999976717,-58.419429779052734,-20.446773529052734,1228.3324890136719,-892.6390914916992,-3.7929697036743164,0.5799999999580905,-48.3486328125
D27,94.0,2.0,40.0,-0.6512413024902344,320.0,1.2550505050505523,0.49641872340425497,-11.498779296875,321.320479132474,94.93075304982824,-62.0,-21.362300872802734,2487.1824645996094,-1426.6966857910156,19.09521484375,0.5200000000004366,-52.92626953125,-7.629390716552734,1106.2621688842773,-572.2045555114746,-0.7412118911743164,0.8600000000005821,-50.1796875
